94,81,65
101,89,71
94,83,68
112,100,85
111,100,84
105,94,75
110,99,82
106,96,82
111,102,85
126,116,102
129,121,104
135,128,110
131,124,112
134,128,115
141,133,120
138,131,115
134,126,110
134,126,113
133,126,115
134,127,112
135,128,113
123,115,100
111,102,87
102,94,81
103,94,80
110,101,85
101,89,74
97,86,70
97,85,69
90,79,68
101,90,74
96,83,67
93,80,62
94,82,68
91,80,69
110,99,82
114,103,87
106,95,79
108,98,80
111,101,81
114,105,89
126,117,99
132,122,105
131,121,101
143,128,105
134,120,103
126,112,91
136,121,98
116,105,82
119,106,85
108,92,74
94,83,64
91,73,48
84,66,42
69,56,31
76,63,38
65,55,36
67,53,32
68,55,32
71,57,29
76,64,37
62,51,36
71,56,34
77,62,41
71,58,30
72,60,36
71,59,43
78,67,48
92,81,60
91,80,58
106,97,79
111,101,81
112,105,89
126,119,101
131,123,107
131,123,103
147,133,114
137,124,111
127,116,98
138,124,103
118,106,87
120,108,91
110,96,80
98,88,72
96,80,54
90,72,48
78,66,41
87,75,53
83,73,54
85,72,50
86,74,51
89,76,47
94,82,59
79,69,59
86,73,53
92,78,58
90,78,50
82,68,50
99,81,65
90,77,59
95,78,61
108,91,72
103,89,72
89,79,65
100,89,75
101,88,75
95,83,71
86,80,72
57,57,55
62,62,58
62,62,59
69,68,63
78,76,69
82,81,73
79,77,70
81,79,72
95,92,81
102,99,86
117,108,90
117,104,83
113,107,91
125,117,99
123,113,93
102,99,87
111,102,86
110,102,88
95,88,76
90,81,68
84,73,63
77,57,48
107,71,53
120,78,56
139,95,67
143,97,68
151,106,78
157,109,79
155,111,83
166,122,90
164,128,105
154,118,98
150,109,83
155,117,93
159,122,99
159,118,90
166,127,99
161,120,91
154,112,81
160,119,89
154,109,77
165,119,86
168,124,87
164,118,82
165,122,88
164,122,88
157,118,88
154,117,91
151,116,98
153,122,107
146,115,101
143,117,109
137,114,112
143,117,109
137,112,107
127,102,99
128,102,96
131,104,97
137,111,102
126,100,92
122,97,91
129,105,101
126,103,100
127,105,102
120,99,95
128,106,101
126,103,100
119,97,93
126,104,102
133,110,107
130,107,103
120,97,94
122,99,96
128,104,99
136,113,108
122,96,90
119,96,91
125,100,94
125,100,93
124,101,94
123,98,89
130,105,95
127,104,97
119,97,92
126,105,101
133,111,108
129,106,102
118,96,92
119,96,92
124,102,97
132,110,105
119,98,94
119,96,92
126,104,100
126,104,99
128,106,104
120,96,89
132,108,102
130,105,99
124,100,95
128,105,100
134,110,104
129,104,97
123,100,95
123,102,100
128,108,105
138,117,116
125,104,103
123,102,99
129,108,106
129,107,105
128,108,106
122,101,99
130,108,104
126,104,102
120,98,95
126,105,104
132,111,106
