75,70,15
75,70,14
76,70,15
76,71,14
74,69,13
75,69,13
74,69,12
75,70,13
74,69,13
74,69,12
74,68,12
74,69,12
74,70,12
74,70,11
74,70,11
63,71,7
56,71,6
36,60,3
31,57,4
21,45,4
23,45,5
29,47,13
41,52,23
47,49,22
57,52,29
77,65,49
85,73,72
84,74,76
70,60,63
77,64,60
75,65,56
56,47,41
103,98,80
102,97,78
104,99,78
104,99,78
104,99,78
105,100,79
105,99,78
103,98,77
105,100,78
105,100,78
106,100,79
106,100,78
106,99,78
106,100,79
106,100,79
106,100,79
107,101,80
106,101,80
107,101,80
106,101,80
105,100,79
104,99,79
103,98,78
104,99,79
104,100,79
103,99,79
104,100,80
104,100,79
104,100,80
102,99,78
103,99,79
102,98,77
103,98,78
103,99,77
103,98,77
104,99,77
105,100,77
104,99,77
105,99,77
104,99,77
105,99,77
105,99,77
105,98,76
106,99,78
106,100,78
105,99,77
105,98,77
103,97,76
104,98,77
104,98,77
104,98,77
104,98,76
104,98,76
100,95,74
101,95,76
101,95,75
99,93,74
98,92,73
98,93,73
98,92,73
97,92,72
97,92,73
98,92,73
98,92,73
100,94,75
101,96,75
104,97,77
104,98,77
104,97,77
103,97,77
102,96,76
100,94,74
101,95,75
101,95,74
101,94,74
99,92,73
99,92,74
98,92,74
98,92,73
98,92,73
98,92,73
98,92,74
99,93,74
101,95,76
99,94,75
99,93,75
95,90,73
95,90,73
95,90,73
94,89,72
94,89,72
95,89,72
95,89,72
96,89,71
94,88,70
94,88,70
96,89,71
95,89,70
94,87,69
94,87,69
94,88,70
95,88,70
95,88,70
95,89,71
85,81,71
80,76,67
62,58,50
52,48,42
40,37,29
29,26,19
29,25,19
28,23,15
28,23,15
30,22,12
30,22,13
30,23,14
31,23,14
30,24,14
26,20,12
24,19,11
23,18,12
22,16,11
18,14,10
18,14,10
18,13,10
16,12,9
14,11,9
16,12,10
13,10,9
16,10,12
22,10,10
25,11,11
26,12,12
26,14,14
26,14,14
28,15,15
27,16,17
31,21,22
32,25,28
35,30,32
35,30,32
33,30,33
39,35,38
41,36,39
41,36,39
43,38,46
37,36,67
32,35,88
29,34,92
20,29,94
20,29,94
22,31,93
21,31,93
21,32,96
27,36,97
27,35,93
24,33,90
21,31,91
20,30,92
19,29,92
22,32,96
16,28,97
19,30,96
21,33,98
25,36,99
31,41,101
36,46,104
31,41,99
21,33,97
18,33,96
28,40,92
38,48,90
41,51,91
44,53,94
